"0","0","Max degree","Mean degree","inet efficiency","Max betweenness","Mean betweenness","Max closeness","Mean closeness","Max Page.Rank","Mean Page.Rank","Max Keinberg's centrality","Mean Max Keinberg's centrality","Total degree","Max Distance","Mean Distance","Connections to X1","Connections to X2","Connections to X3","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1","1","33","1.69230769230769","0.682758620689655","528","13.5384615384615","0.0043859649122807","0.00345340669227309","0.451876336768423","0.0256410256410256","0","0","66","0.807218683743262","0.585480971197065","33","1","1","1","0","1","0","0","1","1","1","0"
"1","1","27","1.43589743589744","0.466666666666667","350","8.97435897435897","0.00219298245614035","0.00168309253052311","0.421968175376563","0.0256410256410256","0","0","56","0.744760855220356","0.579742781469851","27","2","1","1","1","1","0","0","0","1","0","1"
"1","1","5","0.461538461538462","0.0482758620689655","18","0.923076923076923","0.000846740050804403","0.000713628069909373","0.17526455026455","0.0256410256410256","0","0","18","0.7461185","0.585450899735298","5","1","5","0","1","0","0","0","0","0","0","0"
"1","1","33","1.69230769230769","0.682758620689655","528","13.5384615384615","0.0043859649122807","0.00345340669227309","0.451876336768423","0.0256410256410256","0","0","66","0.80721875","0.585532772727273","33","1","1","1","1","0","0","0","1","1","0","0"
"1","1","33","1.8974358974359","0.68735632183908","521","13.4358974358974","0.0043859649122807","0.00345647069774094","0.408710584096281","0.0256410256410256","0","0","74","0.80721875","0.580941293985189","33","1","5","1","1","0","1","1","1","0","1","0"
"1","1","33","1.69230769230769","0.682758620689655","528","13.5384615384615","0.0043859649122807","0.00345340669227309","0.451876336768423","0.0256410256410256","0","0","66","0.80721875","0.585532772727273","33","1","1","1","1","1","1","0","1","1","0","0"
"1","1","5","0.256410256410256","0.0229885057471264","10","0.256410256410256","0.000773993808049536","0.000689723717362573","0.259163272861903","0.0256410256410256","0","0","10","0.7461185","0.5836772","1","0","5","1","1","1","1","1","0","0","1","0"
"1","1","33","1.8974358974359","0.68735632183908","521","13.4358974358974","0.0043859649122807","0.00345647069774094","0.408710584096281","0.0256410256410256","0","0","74","0.80721875","0.580941864864865","33","1","5","1","1","0","1","0","1","1","1","1"
"1","1","33","1.69230769230769","0.682758620689655","528","13.5384615384615","0.0043859649122807","0.00345340669227309","0.451876336768423","0.0256410256410256","0","0","66","0.80721875","0.585532772727273","33","1","1","1","1","0","1","0","1","1","1","0"
"1","1","5","0.307692307692308","0.0295019157088123","14","0.487179487179487","0.000796812749003984","0.000696167609376184","0.231732483395217","0.0256410256410256","0","0","12","0.7461185","0.570568475007384","2","0","5","0","1","1","0","0","1","0","1","1"
"1","1","33","1.8974358974359","0.68735632183908","521","13.4358974358974","0.0043859649122807","0.00345647069774094","0.408710584096281","0.0256410256410256","0","0","74","0.80721875","0.580941864864865","33","1","5","1","0","1","1","0","0","1","1","0"
"1","1","33","1.94871794871795","0.688505747126437","519.5","13.4102564102564","0.0043859649122807","0.00345723518866643","0.39918693467781","0.0256410256410256","0","0","76","0.807218744292807","0.579420057064366","33","2","5","1","0","1","1","0","1","1","1","1"
"1","1","33","1.94871794871795","0.688505747126437","519.5","13.4102564102564","0.0043859649122807","0.00345723518866643","0.39918693467781","0.0256410256410256","0","0","76","0.80721875","0.579455730262533","33","2","5","0","1","0","1","1","0","0","0","1"
"1","1","33","1.79487179487179","0.685057471264368","525.5","13.4871794871795","0.0043859649122807","0.00345493272242166","0.428491118020227","0.0256410256410256","0","0","70","0.80721875","0.582801128424399","33","1","1","0","0","1","0","0","0","1","0","0"
"1","1","5","0.358974358974359","0.0310344827586207","12.5","0.435897435897436","0.000796812749003984","0.000696232161688348","0.20345898923858","0.0256410256410256","0","0","14","0.746118499786266","0.582182691970433","2","2","5","1","1","1","1","1","0","1","0","1"
"1","1","33","1.69230769230769","0.682758620689655","528","13.5384615384615","0.0043859649122807","0.00345340669227309","0.451876336768423","0.0256410256410256","0","0","66","0.80721875","0.585532772727273","33","1","1","1","1","1","1","1","0","1","1","1"
"1","1","25","1.33333333333333","0.403448275862069","299","7.66666666666667","0.0018796992481203","0.00142620869618219","0.41474883362379","0.0256410256410256","0","0","52","0.752430981692062","0.584378346414396","25","2","1","1","1","0","1","1","1","1","1","0"
"1","1","30","1.74358974358974","0.573563218390804","428","11.0512820512821","0.00292397660818713","0.00228828560165458","0.398476832654781","0.0256410256410256","0","0","68","0.785118074574066","0.577493652123216","30","1","5","1","0","1","0","1","1","1","1","0"
"1","1","7","0.512820512820513","0.0509578544061303","23","0.794871794871795","0.000848176420695505","0.000713810455084559","0.221555782372797","0.0256410256410256","0","0","20","0.74351213810072","0.59161205164227","7","2","3","1","1","0","0","1","1","1","0","0"
"1","1","33","1.94871794871795","0.688505747126437","519.5","13.4102564102564","0.0043859649122807","0.00345723518866643","0.39918693467781","0.0256410256410256","0","0","76","0.80721875","0.57938005371619","33","2","5","1","0","1","1","1","1","1","1","0"
"1","1","33","1.94871794871795","0.688505747126437","520.5","13.4102564102564","0.0043859649122807","0.00345723814036885","0.400937221484361","0.0256410256410256","0","0","76","0.80721875","0.579559132147524","33","1","5","1","1","0","0","0","0","0","1","0"
"1","1","33","1.94871794871795","0.688505747126437","519.5","13.4102564102564","0.0043859649122807","0.00345723518866643","0.39918693467781","0.0256410256410256","0","0","76","0.80721875","0.579455724105876","33","2","5","1","1","0","1","1","1","0","0","0"
"1","1","33","1.74358974358974","0.683908045977011","527","13.5128205128205","0.0043859649122807","0.00345416823149617","0.439383826667426","0.0256410256410256","0","0","68","0.807218749998371","0.583732710956604","33","2","1","1","0","1","1","1","0","0","0","0"
"1","1","27","1.58974358974359","0.493486590038314","369.5","10.2051282051282","0.00238663484486873","0.00184268878173246","0.387470482660768","0.0256410256410256","0","0","62","0.746118499801001","0.566211395801038","27","1","5","0","1","1","0","1","0","0","1","1"
"1","1","3","0.153846153846154","0.0103448275862069","3","0.0769230769230769","0.000730994152046784","0.000680448956846014","0.20745069393718","0.0256410256410256","0","0","6","0.708664614593753","0.587637207055492","3","0","1","1","0","0","1","0","0","0","0","0"
"1","1","31","1.79487179487179","0.610344827586207","458","11.8205128205128","0.00328947368421053","0.00258716530595849","0.402059547074931","0.0256410256410256","0","0","70","0.770609082200064","0.581125498664843","31","1","5","0","0","0","0","0","1","0","0","1"
"1","1","33","1.84615384615385","0.686206896551724","524.5","13.4615384615385","0.0043859649122807","0.00345569426164474","0.416915200451305","0.0256410256410256","0","0","72","0.807212452109403","0.580320987319559","33","2","3","0","1","1","0","0","0","0","0","1"
"1","1","33","1.94871794871795","0.688505747126437","519.5","13.4102564102564","0.0043859649122807","0.00345723518866643","0.39918693467781","0.0256410256410256","0","0","76","0.807218723363258","0.579444914886318","33","2","5","0","0","1","1","0","0","0","0","0"
"1","1","33","1.8974358974359","0.68735632183908","522","13.4358974358974","0.0043859649122807","0.00345646469043073","0.408453442581479","0.0256410256410256","0","0","74","0.807218686495953","0.578246001216957","33","1","4","1","1","1","1","1","0","0","1","1"
"1","1","33","1.94871794871795","0.688505747126437","520.5","13.4102564102564","0.0043859649122807","0.00345723814036885","0.400937221484361","0.0256410256410256","0","0","76","0.80721875","0.579925755315094","33","1","5","1","1","1","1","1","0","0","1","1"
"1","1","11","0.717948717948718","0.101915708812261","62.5","1.8974358974359","0.000973709834469328","0.000771168192767144","0.28201426584247","0.0256410256410256","0","0","28","0.745951929267126","0.560981136035468","11","2","3","1","0","1","1","1","1","1","0","1"
"1","1","10","0.769230769230769","0.0804597701149425","36.5","1.02564102564103","0.000907441016333938","0.000738714040828793","0.231270947443922","0.0256410256410256","0","0","30","0.753531759875333","0.580927700827121","10","2","5","1","0","0","0","1","1","1","0","0"
"1","1","33","1.94871794871795","0.688505747126437","520.5","13.4102564102564","0.0043859649122807","0.00345723814036885","0.400937221484361","0.0256410256410256","0","0","76","0.80721875","0.578933352601666","33","1","5","1","1","1","0","0","1","0","0","1"
"1","1","3","0.153846153846154","0.0103448275862069","3","0.0769230769230769","0.000730994152046784","0.000680448956846014","0.20745069393718","0.0256410256410256","0","0","6","0.706155935297783","0.609082538426013","3","0","0","0","1","0","1","1","0","1","1","1"
"1","1","33","1.69230769230769","0.682758620689655","528","13.5384615384615","0.0043859649122807","0.00345340669227309","0.451876336768423","0.0256410256410256","0","0","66","0.80721875","0.585532772727264","33","1","1","1","1","1","0","1","1","1","1","0"
"1","1","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.64130425","0.5828865","1","2","0","1","1","1","0","0","1","1","0","0"
"1","1","5","0.461538461538462","0.0482758620689655","18","0.923076923076923","0.000846740050804403","0.000713628069909373","0.17526455026455","0.0256410256410256","0","0","18","0.7461185","0.590648793439063","5","0","5","1","0","0","0","0","1","1","0","0"
"1","1","33","1.74358974358974","0.683908045977011","527","13.5128205128205","0.0043859649122807","0.00345416823149617","0.439383826667426","0.0256410256410256","0","0","68","0.80721875","0.58411274368565","33","1","1","1","0","1","0","1","0","0","0","1"
